Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),accepter, ,to accept,,,,http://project-modelino.com/french-phonetic-transcription-converter.php?site_language=english
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),accompagner,,to accompany,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),actualiser,,to bring up to date,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),adorer,,"to adore, love",,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),afficher,,to post; to display (computer),,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),aider,,to help,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),aimer,,"to like, love",,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),allumer,,"to light, to turn on (an applience)",,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),apporter,,to bring,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),apprécier,,to appreciate,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),arriver,,to arrive,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),bavarder,,to chat,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),casser,,to break,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),cesser,,to stop,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),chanter,,to sing,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),chercher,,to look for,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),cliquer,,to click (computer),,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),coller,,to paste (computer),,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),continuer,,to continue,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),copier,,to copy,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),couper,,to cut,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),créer,,to create,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),danser,,to dance,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),débouger,,to debug,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),décider,,to decide,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),déjeuner,,to have lunch,,,,
Chapter 1,Chapitre 1,Verbs (like *p*a*r*l*e*r),Verbes (comme  *p*a*r*l*e*r),demander,,"to ask, ask for",,,,
